resource,resource,resource,resource,resource,type,Add Step,Add Post,Tier 1,Tier 2 ,Tier 3,Tier 4,Tier 5,Tier 6,Tier 7,Tier 8,Tier 9
,,,,,step,,,Waterproofing QA,,,,,,,,
,,,,,step,,,,Level 5,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 5G,,,,,,
,,,,,step,,,,Level 6,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 6G,,,,,,
,,,,,step,,,,Level 7,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 7G,,,,,,
,,,,,step,,,,Level 8,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 8G,,,,,,
,,,,,step,,,,Level 9,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 9G,,,,,,
,,,,,step,,,,Level 10,,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10A,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10B,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10C,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10D,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10E,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10F,,,,,,
Internal Framing,External Framing,RAB,Wrapshield,Soffits,folder-with-checklists,,,,,Unit 10G,,,,,,
